date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
2000-12-19,sh.600016,0.7399800000,0.7769790000,0.6844815000,0.6867014400,0.4365882000,156352456,3058872084.0000,44.672130,57.288130,136.812944,18.471232,29.539767,10.601648
2000-12-20,sh.600016,0.6833715300,0.6833715300,0.6626520900,0.6696819000,0.6867014400,29046713,526016570.0000,8.299061,-2.478443,133.422106,18.013432,28.807640,10.338891
2000-12-21,sh.600016,0.6726418200,0.6837415200,0.6659820000,0.6693119100,0.6696819000,11362956,206705741.0000,3.246559,-0.055250,133.348392,18.003480,28.791724,10.333179
2000-12-22,sh.600016,0.6696819000,0.6722718300,0.6511824000,0.6534023400,0.6693119100,13026488,231272602.0000,3.721854,-2.377006,130.178696,17.575536,28.107343,10.087559
2000-12-25,sh.600016,0.6511824000,0.6519223800,0.6293529900,0.6363828000,0.6534023400,10113120,174453021.0000,2.889463,-2.604751,126.787858,17.117736,27.375216,9.824803
2000-12-26,sh.600016,0.6363828000,0.6474825000,0.6356428200,0.6408226800,0.6363828000,6539033,113179158.0000,1.868295,0.697668,127.672424,17.237162,27.566205,9.893348
2000-12-27,sh.600016,0.6419326500,0.6430426200,0.6308329500,0.6330528900,0.6408226800,6814034,116840535.0000,1.946867,-1.212466,126.124433,17.028167,27.231973,9.773394
2000-12-28,sh.600016,0.6326829000,0.6360128100,0.6297229800,0.6319429200,0.6330528900,6921479,118199560.0000,1.977565,-0.175340,125.903291,16.998310,27.184226,9.756258
2000-12-29,sh.600016,0.6326829000,0.6430426200,0.6308329500,0.6371227800,0.6319429200,3985226,68457753.0000,1.138636,0.819669,126.935286,17.137641,27.407047,9.836227
2001-01-02,sh.600016,0.6382327500,0.6493324500,0.6326829000,0.6434126100,0.6371227800,5440019,94143228.0000,1.554291,0.987225,128.188421,17.306828,27.677616,9.933333
2001-01-03,sh.600016,0.6456325500,0.6463725300,0.6371227800,0.6400827000,0.6434126100,4322353,74715213.0000,1.234958,-0.517540,127.524997,17.217258,27.534374,9.881924
2001-01-04,sh.600016,0.6415626600,0.6434126100,0.6326829000,0.6349028400,0.6400827000,5205197,89541752.0000,1.487199,-0.809245,126.493002,17.077928,27.311552,9.801954
2001-01-05,sh.600016,0.6337928700,0.6345328500,0.6208432200,0.6260230800,0.6349028400,9318594,157555679.0000,2.662455,-1.398600,124.723869,16.839076,26.929572,9.664864
2001-01-08,sh.600016,0.6245431200,0.6249131100,0.6108534900,0.6138134100,0.6260230800,6452415,107107756.0000,1.843547,-1.950354,122.291312,16.510654,26.404350,9.476365
2001-01-09,sh.600016,0.6134434200,0.6319429200,0.6108534900,0.6300929700,0.6138134100,5336477,89826846.0000,1.524708,2.652203,125.534722,16.948549,27.104647,9.727697
2001-01-10,sh.600016,0.6312029400,0.6349028400,0.6215832000,0.6300929700,0.6300929700,3901153,66339297.0000,1.114615,0.000000,125.534722,16.948549,27.104647,9.727697
2001-01-11,sh.600016,0.6300929700,0.6548823000,0.6289830000,0.6430426200,0.6300929700,13053988,228192678.0000,3.729711,2.055188,128.114708,17.296876,27.661700,9.927621
2001-01-12,sh.600016,0.6434126100,0.6511824000,0.6363828000,0.6485924700,0.6430426200,6113146,106765773.0000,1.746613,0.863070,129.220416,17.446158,27.900438,10.013302
2001-01-15,sh.600016,0.6485924700,0.6493324500,0.6141834000,0.6197332500,0.6485924700,7478191,127174474.0000,2.136626,-4.449519,123.470734,16.669889,26.659003,9.567759
2001-01-16,sh.600016,0.6197332500,0.6323129100,0.6164033400,0.6297229800,0.6197332500,4824776,81394428.0000,1.378507,1.611943,125.461008,16.938597,27.088731,9.721985
2001-01-17,sh.600016,0.6308329500,0.6467425200,0.6289830000,0.6360128100,0.6297229800,3432919,59231397.0000,0.980834,0.998825,126.714144,17.107784,27.359300,9.819091
2001-01-18,sh.600016,0.6363828000,0.6493324500,0.6323129100,0.6441525900,0.6360128100,4883796,84924145.0000,1.395370,1.279810,128.335849,17.326732,27.709448,9.944757
2001-01-19,sh.600016,0.6456325500,0.6511824000,0.6363828000,0.6493324500,0.6441525900,6183605,108410902.0000,1.766744,0.804132,129.367843,17.466062,27.932269,10.024726
2001-02-05,sh.600016,0.6522923700,0.6530323500,0.6282430200,0.6289830000,0.6493324500,3121152,53615815.0000,0.891758,-3.133899,125.313580,16.918693,27.056899,9.710561
2001-02-06,sh.600016,0.6289830000,0.6300929700,0.6145533900,0.6297229800,0.6289830000,2902113,48864614.0000,0.829175,0.117650,125.461008,16.938597,27.088731,9.721985
2001-02-07,sh.600016,0.6297229800,0.6308329500,0.6215832000,0.6234331500,0.6297229800,1293718,21839972.0000,0.369634,-0.998825,124.207872,16.769410,26.818162,9.624880
2001-02-08,sh.600016,0.6234331500,0.6249131100,0.6112234800,0.6123334500,0.6234331500,3091120,51492743.0000,0.883177,-1.780422,121.996456,16.470845,26.340687,9.453517
2001-02-09,sh.600016,0.6130734300,0.6286130100,0.6112234800,0.6234331500,0.6123334500,2211249,37064467.0000,0.631785,1.812696,124.207872,16.769410,26.818162,9.624880
